Keyword,N,FA,FR,Precision,Recall,F1-score
COMPANIES,9,0,1,0.889,1.0,0.941
NINETEEN,12,0,3,0.75,1.0,0.857
UNDER,7,5,0,1.0,0.583,0.737
EIGHTY,13,1,0,1.0,0.929,0.963
ALTHOUGH,5,0,2,0.6,1.0,0.75
THEIR,15,0,1,0.933,1.0,0.965
WEAPONS,6,0,0,1.0,1.0,1.0
OTHER,14,2,1,0.929,0.867,0.897
WOULD,14,2,1,0.929,0.867,0.897
PEOPLE,8,0,2,0.75,1.0,0.857
THOSE,7,1,2,0.714,0.833,0.769
NUCLEAR,8,0,2,0.75,1.0,0.857
RIGHT,7,1,2,0.714,0.833,0.769
EIGHT,20,5,1,0.95,0.792,0.864
ABOUT,11,0,2,0.818,1.0,0.9
STREET,5,0,2,0.6,1.0,0.75
INFLATION,5,0,1,0.8,1.0,0.889
GROUP,13,0,2,0.846,1.0,0.917
RATES,5,0,0,1.0,1.0,1.0
HOWEVER,8,0,1,0.875,1.0,0.933
LAUNCH,5,0,1,0.8,1.0,0.889
BRITISH,5,0,1,0.8,1.0,0.889
MILLION,15,0,2,0.867,1.0,0.929
SENIOR,7,0,2,0.714,1.0,0.833
WON'T,5,0,2,0.6,1.0,0.75
POINT,18,0,1,0.944,1.0,0.971
AGREED,8,0,0,1.0,1.0,1.0
TRADE,8,0,0,1.0,1.0,1.0
STRUCTURE,13,0,1,0.923,1.0,0.96
EARNINGS,5,0,0,1.0,1.0,1.0
STILL,8,0,0,1.0,1.0,1.0
THREE,18,0,1,0.944,1.0,0.971
INDUSTRY,5,0,2,0.6,1.0,0.75
FIRST,8,0,0,1.0,1.0,1.0
BILLION,8,0,0,1.0,1.0,1.0
SINCE,7,0,4,0.429,1.0,0.6
LOCAL,7,0,1,0.857,1.0,0.923
STOCK,6,0,0,1.0,1.0,1.0
PARTY,6,0,0,1.0,1.0,1.0
FIFTY,13,0,1,0.923,1.0,0.96
ANOTHER,7,0,0,1.0,1.0,1.0
REVIEW,11,0,6,0.455,1.0,0.625
CONCESSIONS,5,0,1,0.8,1.0,0.889
SEVEN,8,0,0,1.0,1.0,1.0
COMPANY,26,0,0,1.0,1.0,1.0
HIGHER,8,0,0,1.0,1.0,1.0
COULD,9,3,0,1.0,0.75,0.857
SALES,9,0,0,1.0,1.0,1.0
AFTER,8,0,0,1.0,1.0,1.0
THERE,14,2,0,1.0,0.875,0.933
SHOULD,8,0,0,1.0,1.0,1.0
DESIGN,5,0,2,0.6,1.0,0.75
STOCKS,7,0,1,0.857,1.0,0.923
PERCENT,18,0,2,0.889,1.0,0.941
PLANS,11,0,0,1.0,1.0,1.0
Precsion,Recall,F1-score
0.8544564066885493,0.952295918367347,0.9007270528761177
