Keyword,N,FA,FR,Precision,Recall,F1-score
COMPANIES,9,0,2,0.778,1.0,0.875
NINETEEN,12,0,4,0.667,1.0,0.8
UNDER,7,2,0,1.0,0.778,0.875
EIGHTY,13,0,0,1.0,1.0,1.0
THEIR,15,0,4,0.733,1.0,0.846
WEAPONS,6,0,5,0.167,1.0,0.286
OTHER,14,0,1,0.929,1.0,0.963
WOULD,14,2,3,0.786,0.846,0.815
PEOPLE,8,0,3,0.625,1.0,0.769
THOSE,7,0,3,0.571,1.0,0.727
NUCLEAR,8,0,7,0.125,1.0,0.222
RIGHT,7,0,3,0.571,1.0,0.727
EIGHT,20,2,3,0.85,0.895,0.872
ABOUT,11,0,3,0.727,1.0,0.842
STREET,5,0,4,0.2,1.0,0.333
INFLATION,5,0,2,0.6,1.0,0.75
GROUP,13,0,5,0.615,1.0,0.762
RATES,5,0,2,0.6,1.0,0.75
HOWEVER,8,0,3,0.625,1.0,0.769
LAUNCH,5,0,4,0.2,1.0,0.333
BRITISH,5,0,4,0.2,1.0,0.333
MILLION,15,0,2,0.867,1.0,0.929
SENIOR,7,0,4,0.429,1.0,0.6
WON'T,5,0,4,0.2,1.0,0.333
POINT,18,0,5,0.722,1.0,0.839
AGREED,8,0,2,0.75,1.0,0.857
TRADE,8,0,0,1.0,1.0,1.0
STRUCTURE,13,0,6,0.538,1.0,0.7
EARNINGS,5,0,0,1.0,1.0,1.0
STILL,8,0,2,0.75,1.0,0.857
THREE,18,0,2,0.889,1.0,0.941
INDUSTRY,5,0,4,0.2,1.0,0.333
FIRST,8,0,1,0.875,1.0,0.933
BILLION,8,0,1,0.875,1.0,0.933
SINCE,7,0,4,0.429,1.0,0.6
LOCAL,7,0,3,0.571,1.0,0.727
STOCK,6,0,1,0.833,1.0,0.909
PARTY,6,0,2,0.667,1.0,0.8
FIFTY,13,0,4,0.692,1.0,0.818
ANOTHER,7,0,2,0.714,1.0,0.833
CONCESSIONS,5,0,0,1.0,1.0,1.0
SEVEN,8,0,1,0.875,1.0,0.933
COMPANY,26,0,0,1.0,1.0,1.0
HIGHER,8,0,2,0.75,1.0,0.857
COULD,9,0,2,0.778,1.0,0.875
SALES,9,0,0,1.0,1.0,1.0
AFTER,8,0,2,0.75,1.0,0.857
THERE,14,0,2,0.857,1.0,0.923
SHOULD,8,0,2,0.75,1.0,0.857
DESIGN,5,0,3,0.4,1.0,0.571
STOCKS,7,0,3,0.571,1.0,0.727
PERCENT,18,0,3,0.833,1.0,0.909
PLANS,11,0,2,0.818,1.0,0.9
Precsion,Recall,F1-score
0.6420270205984491,0.9378333654649443,0.7622374315588596
